,out_zone_percent,in_zone_percent,n_ff_formatted,ff_avg_speed,ff_avg_spin,ff_avg_break_x,ff_avg_break_z,n_sl_formatted,sl_avg_speed,sl_avg_spin,sl_avg_break_x,sl_avg_break_z,n_ch_formatted,ch_avg_speed,ch_avg_spin,ch_avg_break_x,ch_avg_break_z,n_cukc_formatted,cu_avg_speed,cu_avg_spin,cu_avg_break_x,cu_avg_break_z,cu_avg_break,n_sift_formatted,si_avg_speed,si_avg_spin,si_avg_break_x,si_avg_break_z,n_fc_formatted,fc_avg_speed,fc_avg_spin,fc_avg_break_x,fc_avg_break_z,n_fs_formatted,fs_avg_speed,fs_avg_spin,fs_avg_break_x,fs_avg_break_z,fs_avg_break,n_fastball_formatted,fastball_avg_speed,fastball_avg_spin,fastball_avg_break_x,fastball_avg_break_z,fastball_avg_break,n_breaking_formatted,breaking_avg_speed,breaking_avg_spin,breaking_avg_break_x,breaking_avg_break_z,n_offspeed_formatted,offspeed_avg_speed,offspeed_avg_spin,offspeed_avg_break_x,offspeed_avg_break_z,Cluster,last_name,first_name
0,50.2,49.8,9.0,87.9,2229.0,-1.3,-20.2,0.0,0.0,0.0,0.0,0.0,6.1,82.2,1764.0,-14.3,-32.4,31.3,73.0,2774.0,16.1,-67.2,22.0,28.0,88.6,2200.0,-13.0,-22.7,25.6,84.3,2410.0,6.3,-32.1,0.0,0.0,0.0,0.0,0.0,0.0,62.6,86.7,2290,-3.5,-26.2,14.0,31.3,73.0,2774.0,16.1,-67.2,6.1,82.2,1764.0,-14.3,-32.4,3,Wainwright, Adam
1,52.8,47.2,38.5,89.2,2286.0,-2.0,-18.4,8.0,81.9,2447.0,8.3,-34.7,16.4,86.5,1648.0,-12.8,-32.6,20.5,72.0,2431.0,12.6,-64.4,16.9,2.5,89.3,2196.0,-10.7,-23.1,14.1,85.8,2378.0,6.7,-31.1,0.0,0.0,0.0,0.0,0.0,0.0,55.1,88.3,2305,-0.1,-21.9,14.4,28.5,74.7,2436.0,11.4,-56.1,16.4,86.5,1648.0,-12.8,-32.6,8,Greinke, Zack
2,48.9,51.1,50.4,95.0,2423.0,-9.5,-11.4,28.3,87.4,2465.0,4.0,-31.0,2.4,86.2,1756.0,-15.7,-26.5,18.8,79.0,2643.0,6.9,-55.3,13.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.4,95.0,2423,-9.5,-11.4,21.5,47.1,84.1,2536.0,5.2,-40.7,2.4,86.2,1756.0,-15.7,-26.5,5,Verlander, Justin
3,55.3,44.7,16.6,89.9,2065.0,-3.7,-17.1,6.2,83.2,2174.0,5.1,-34.6,25.6,79.9,1470.0,-13.4,-35.3,5.6,75.4,1953.0,3.0,-51.1,4.7,19.2,89.1,1926.0,-12.3,-21.0,26.8,87.3,2095.0,0.2,-23.5,0.0,0.0,0.0,0.0,0.0,0.0,62.7,88.5,2035,-4.6,-21.1,15.6,11.8,79.5,2069.0,4.1,-42.4,25.6,79.9,1470.0,-13.4,-35.3,8,Sanchez, Anibal
4,44.2,55.8,0.0,0.0,0.0,0.0,0.0,13.1,81.2,2459.0,4.6,-47.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.5,93.6,2231.0,-4.6,-11.8,64.4,92.2,2567.0,8.4,-15.8,0.0,0.0,0.0,0.0,0.0,0.0,86.9,92.6,2480,5.1,-14.7,18.9,13.1,81.2,2459.0,4.6,-47.4,0.0,0.0,0.0,0.0,0.0,7,Jansen, Kenley
5,51.1,48.9,0.7,90.6,2056.0,-11.7,-20.5,0.0,0.0,0.0,0.0,0.0,12.9,85.5,1826.0,-15.8,-35.7,1.7,76.9,2512.0,15.0,-51.0,15.7,26.2,91.2,1974.0,-16.5,-25.6,58.6,89.1,2223.0,-1.9,-21.5,0.0,0.0,0.0,0.0,0.0,0.0,85.4,89.8,2145,-6.5,-22.8,14.6,1.7,76.9,2512.0,15.0,-51.0,12.9,85.5,1826.0,-15.8,-35.7,3,Chavez, Jesse
6,49.1,50.9,1.5,88.9,2271.0,-6.3,-20.2,0.0,0.0,0.0,0.0,0.0,10.3,82.9,1653.0,-13.6,-33.7,27.3,80.7,2526.0,16.5,-41.0,16.9,26.8,88.9,2075.0,-16.3,-26.1,34.2,86.3,2463.0,2.9,-28.1,0.0,0.0,0.0,0.0,0.0,0.0,62.4,87.5,2292,-5.6,-27.1,13.5,27.3,80.7,2526.0,16.5,-41.0,10.3,82.9,1653.0,-13.6,-33.7,3,Kluber, Corey
7,46.2,53.8,35.9,88.5,2252.0,8.2,-16.4,10.7,69.2,2531.0,-22.7,-56.5,4.1,82.7,1875.0,15.6,-33.3,35.9,71.9,2636.0,-17.8,-67.5,22.5,0.3,86.1,2145.0,17.3,-26.8,13.0,84.2,2273.0,-1.9,-29.6,0.0,0.0,0.0,0.0,0.0,0.0,49.3,87.3,2257,5.6,-20.0,17.6,46.6,71.3,2612.0,-19.0,-65.0,4.1,82.7,1875.0,15.6,-33.3,1,Hill, Rich
8,51.8,48.2,33.3,94.9,2374.0,-10.5,-17.8,0.0,0.0,0.0,0.0,0.0,8.6,87.2,2154.0,-17.6,-34.5,38.0,81.3,3068.0,15.5,-51.1,18.3,10.8,94.7,2192.0,-17.1,-25.4,9.3,88.4,2551.0,1.8,-29.7,0.0,0.0,0.0,0.0,0.0,0.0,53.4,93.7,2368,-9.7,-21.4,14.9,38.0,81.3,3068.0,15.5,-51.1,8.6,87.2,2154.0,-17.6,-34.5,3,Morton, Charlie
9,48.9,51.1,81.4,93.4,2447.0,-10.4,-14.1,0.0,0.0,0.0,0.0,0.0,10.6,85.7,1224.0,-8.4,-29.0,5.8,79.6,2555.0,8.3,-50.5,12.5,0.0,0.0,0.0,0.0,0.0,2.2,85.8,2010.0,3.1,-33.2,0.0,0.0,0.0,0.0,0.0,0.0,83.6,93.2,2436,-10.0,-14.6,20.1,5.8,79.6,2555.0,8.3,-50.5,10.6,85.7,1224.0,-8.4,-29.0,3,Kennedy, Ian
